=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.07.16 14:43:26 =~=~=~=~=~=~=~=~=~=~=~=
OLA
Pos velocidade
27.536 -0.0142857
27.538 0.0000000
27.536 0.0000000
27.527 0.0000000
27.528 0.0000000
27.532 0.0000000
28.431 -0.0142857
27.531 0.0142857
27.530 0.0000000
27.534 0.0000000
27.536 0.0000000
27.532 0.0000000
27.530 0.0000000
27.539 0.0000000
27.538 0.0000000
27.533 0.0000000
27.531 0.0000000
27.534 0.0000000
27.531 0.0000000
27.538 0.0000000
27.531 0.0000000
27.532 0.0000000
27.534 0.0000000
27.533 0.0000000
27.534 0.0000000
27.536 0.0000000
27.533 0.0000000
27.531 0.0000000
27.528 0.0000000
27.534 0.0000000
27.532 0.0000000
27.957 0.0000000
27.528 0.0000000
27.533 0.0000000
28.963 -0.0142857
30.691 -0.0285714
33.962 -0.0428571
36.345 -0.0428571
38.961 -0.0285714
40.864 -0.0285714
42.192 -0.0285714
43.441 -0.0142857
45.099 -0.0285714
47.065 -0.0285714
32.349 0.2142857
49.616 -0.2428571
49.335 0.0000000
51.171 -0.0285714
29.501 0.3142857
31.530 -0.0285714
50.995 -0.2714286
50.210 0.0000000
50.762 0.0000000
30.273 0.2857143
32.769 -0.0285714
47.602 -0.2142857
47.600 0.0000000
29.436 0.2571429
43.559 -0.2000000
42.423 0.0142857
29.452 0.1857143
39.331 -0.1428571
37.112 0.0285714
31.102 0.0857143
33.199 -0.0285714
32.487 0.0142857
29.923 0.0428571
28.546 0.0142857
27.176 0.0142857
26.224 0.0142857
25.688 0.0142857
23.962 0.0285714
22.767 0.0142857
17.824 0.0714286
19.194 -0.0285714
17.704 0.0285714
15.270 0.0285714
12.886 0.0428571
11.097 0.0142857
10.621 0.0142857
 9.787 0.0142857
 9.014 0.0000000
 8.061 0.0142857
 7.823 0.0142857
 7.287 0.0000000
 6.813 0.0142857
 7.705 -0.0142857
 6.870 0.0142857
 8.298 -0.0285714
 6.869 0.0285714
 7.703 -0.0142857
 9.489 -0.0285714
 9.731 0.0000000
11.156 -0.0285714
12.468 -0.0142857
14.375 -0.0285714
16.224 -0.0285714
18.599 -0.0285714
21.752 -0.0428571
19.495 0.0285714
21.398 -0.0285714
24.430 -0.0428571
23.839 0.0142857
26.286 -0.0428571
26.511 0.0000000
27.595 -0.0142857
28.727 -0.0142857
29.494 -0.0142857
30.506 -0.0142857
31.461 -0.0142857
32.347 -0.0142857
33.189 -0.0142857
33.127 0.0000000
35.099 -0.0285714
36.402 -0.0142857
37.068 -0.0142857
38.180 -0.0142857
38.609 0.0000000
39.798 -0.0142857
40.096 -0.0142857
40.162 0.0000000
39.099 0.0142857
39.796 0.0000000
38.727 0.0142857
37.889 0.0142857
36.519 0.0142857
36.880 0.0000000
36.220 0.0000000
34.796 0.0285714
35.510 -0.0142857
33.609 0.0285714
33.846 0.0000000
31.875 0.0285714
31.224 0.0000000
30.450 0.0142857
28.661 0.0285714
28.189 0.0000000
27.234 0.0142857
26.761 0.0142857
26.281 0.0000000
25.394 0.0142857
24.559 0.0142857
24.197 0.0000000
23.539 0.0142857
20.803 0.0428571
20.446 0.0000000
20.386 0.0000000
18.658 0.0285714
19.138 -0.0142857
18.713 0.0142857
17.880 0.0142857
22.651 -0.0714286
17.350 0.0714286
17.294 0.0000000
17.411 0.0000000
15.801 0.0285714
16.098 -0.0142857
15.921 0.0142857
15.384 0.0000000
15.387 0.0000000
14.964 0.0142857
14.547 0.0000000
15.917 -0.0142857
16.577 -0.0142857
16.217 0.0000000
16.459 0.0000000
15.325 0.0142857
17.588 -0.0285714
16.515 0.0142857
19.434 -0.0428571
17.890 0.0285714
18.297 -0.0142857
32.827 -0.2000000
17.413 0.2142857
19.850 -0.0285714
19.612 0.0000000
18.659 0.0142857
18.301 0.0000000
19.075 -0.0142857
18.241 0.0142857
19.136 -0.0142857
18.713 0.0142857
18.717 0.0000000
18.722 0.0000000
18.719 0.0000000
19.141 -0.0142857
18.720 0.0142857
18.716 0.0000000
18.719 0.0000000
18.719 0.0000000
19.144 -0.0142857
18.717 0.0142857
18.721 0.0000000
18.719 0.0000000
18.724 0.0000000
18.721 0.0000000
18.722 0.0000000
18.723 0.0000000
19.140 -0.0142857
18.718 0.0142857
18.723 0.0000000
18.721 0.0000000
18.724 0.0000000
18.722 0.0000000
18.723 0.0000000
18.722 0.0000000
18.721 0.0000000
18.719 0.0000000
18.724 0.0000000
18.724 0.0000000
18.717 0.0000000
18.722 0.0000000
18.719 0.0000000
18.724 0.0000000
18.717 0.0000000
18.721 0.0000000
19.140 -0.0142857
18.723 0.0142857
19.140 -0.0142857
18.723 0.0142857
18.302 0.0000000
18.300 0.0000000
63.916 -0.6428571
21.879 0.6000000
20.032 0.0142857
21.699 -0.0142857
20.866 0.0142857
22.061 -0.0285714
23.545 -0.0142857
23.968 0.0000000
24.916 -0.0142857
24.795 0.0000000
24.913 0.0000000
25.633 -0.0142857
26.645 -0.0142857
25.930 0.0142857
27.413 -0.0285714
27.545 0.0000000
28.196 -0.0142857
28.256 0.0000000
29.144 -0.0142857
30.333 -0.0142857
30.516 0.0000000
30.699 0.0000000
30.341 0.0000000
30.758 0.0000000
30.629 0.0000000
30.031 0.0000000
29.981 0.0142857
29.210 0.0000000
28.365 0.0142857
28.374 0.0000000
27.478 0.0142857
27.481 0.0000000
26.589 0.0142857
26.589 0.0000000
26.586 0.0000000
25.807 0.0142857
25.628 0.0000000
25.807 0.0000000
25.809 0.0000000
25.630 0.0000000
24.970 0.0142857
25.333 -0.0142857
25.272 0.0000000
24.856 0.0142857
24.976 0.0000000
25.033 -0.0142857
24.256 0.0142857
25.152 -0.0142857
25.690 0.0000000
25.867 0.0000000
25.508 0.0000000
26.101 -0.0142857
26.169 0.0000000
25.807 0.0142857
25.865 0.0000000
25.927 0.0000000
25.567 0.0000000
26.046 -0.0142857
25.686 0.0142857
26.641 -0.0142857
27.291 -0.0142857
28.892 -0.0142857
29.973 -0.0142857
31.516 -0.0285714
33.426 -0.0285714
33.962 0.0000000
35.270 -0.0285714
36.584 -0.0142857
38.732 -0.0285714
41.170 -0.0428571
43.064 -0.0285714
44.560 -0.0142857
46.167 -0.0285714
31.519 0.2142857
31.935 0.0000000
47.647 -0.2285714
47.843 0.0000000
30.748 0.2428571
31.106 -0.0142857
46.883 -0.2142857
45.878 0.0142857
32.352 0.1857143
30.752 0.0285714
43.849 -0.1857143
43.202 0.0000000
31.531 0.1714286
30.691 0.0142857
40.406 -0.1428571
39.023 0.0142857
30.692 0.1285714
37.292 -0.1000000
36.460 0.0142857
33.596 0.0428571
32.349 0.0142857
33.613 -0.0142857
32.720 0.0142857
31.041 0.0142857
30.449 0.0142857
29.796 0.0142857
28.305 0.0142857
27.176 0.0142857
26.224 0.0142857
24.734 0.0285714
24.860 0.0000000
22.591 0.0285714
20.869 0.0285714
21.402 -0.0142857
21.520 0.0000000
18.601 0.0428571
17.885 0.0142857
15.742 0.0285714
16.403 -0.0142857
14.971 0.0285714
14.433 0.0000000
13.956 0.0142857
12.705 0.0142857
11.932 0.0142857
12.047 -0.0142857
11.928 0.0142857
11.456 0.0000000
11.457 0.0000000
12.168 -0.0142857
12.407 0.0000000
13.481 -0.0142857
14.314 -0.0142857
14.732 0.0000000
15.623 -0.0142857
15.680 0.0000000
18.358 -0.0428571
21.462 -0.0428571
21.455 0.0000000
19.077 0.0285714
19.552 0.0000000
21.339 -0.0285714
23.666 -0.0285714
21.697 0.0285714
23.724 -0.0285714
24.492 -0.0142857
24.199 0.0000000
25.806 -0.0142857
26.468 -0.0142857
27.236 -0.0142857
28.011 -0.0142857
28.725 0.0000000
29.018 -0.0142857
30.089 -0.0142857
30.213 0.0000000
31.164 -0.0142857
31.409 0.0000000
32.126 -0.0142857
31.829 0.0142857
31.824 0.0000000
31.708 0.0000000
31.946 0.0000000
31.288 0.0000000
30.983 0.0142857
30.635 0.0000000
30.222 0.0000000
29.677 0.0142857
29.083 0.0000000
27.836 0.0285714
27.176 0.0000000
26.528 0.0142857
26.278 0.0000000
26.108 0.0000000
