=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.07.22 20:20:56 =~=~=~=~=~=~=~=~=~=~=~=
OLA
Saving data, wait a bit
Pos velocidade pos_c velo_c ang
31.117 0.0000000 31.117 0.0000000   90.9
29.448 0.0285714 29.448 0.0285714   89.3
27.602 0.0285714 27.602 0.0285714   89.1
26.231 0.0142857 26.231 0.0142857   90.7
26.526 0.0000000 26.526 0.0000000   89.6
26.413 0.0000000 26.413 0.0000000   90.0
23.728 0.0428571 23.728 0.0428571   90.6
22.899 0.0142857 22.899 0.0142857   90.7
22.420 0.0000000 22.420 0.0000000   92.0
22.474 0.0000000 22.474 0.0000000   91.0
21.525 0.0142857 21.525 0.0142857   91.2
17.591 0.0571429 17.591 0.0571429   91.2
13.478 0.0571429 13.478 0.0571429   91.3
 9.848 0.0571429  9.848 0.0571429   92.8
 8.542 0.0142857  8.542 0.0142857   92.4
 5.204 0.0428571  5.204 0.0428571   92.0
 4.369 0.0142857  4.369 0.0142857   92.8
 3.356 0.0142857  3.356 0.0142857   93.2
 3.119 0.0000000  3.119 0.0000000   92.4
1200.009 -17.1000000  3.119 0.0000000   93.6
95.798 -1.3000000  3.119 0.0000000   92.7
 2.643 0.0285714  2.643 0.0285714   92.9
 2.642 0.0000000  2.642 0.0000000   93.7
 3.178 -0.0142857  3.178 -0.0142857   93.9
 5.859 -0.0285714  5.859 -0.0285714   93.6
 7.111 -0.0285714  7.111 -0.0285714   91.7
 8.121 -0.0142857  8.121 -0.0142857   93.8
10.983 -0.0285714 10.983 -0.0285714   92.8
13.124 -0.0428571 13.124 -0.0428571   92.2
15.807 -0.0285714 15.807 -0.0285714   92.5
20.033 -0.0714286 20.033 -0.0714286   91.5
23.016 -0.0428571 23.016 -0.0428571   91.0
24.446 -0.0142857 24.446 -0.0142857   89.1
26.235 -0.0285714 26.235 -0.0285714   91.2
29.148 -0.0428571 29.148 -0.0428571   89.8
31.292 -0.0285714 31.292 -0.0285714   88.9
33.796 -0.0285714 33.796 -0.0285714   90.5
35.407 -0.0285714 35.407 -0.0285714   89.2
39.148 -0.0571429 39.148 -0.0571429   88.6
41.360 -0.0285714 41.360 -0.0285714   89.1
43.916 -0.0285714 43.916 -0.0285714   86.7
47.086 -0.0571429 47.086 -0.0571429   90.3
49.523 -0.0285714 49.523 -0.0285714   86.4
50.284 -0.0142857 50.284 -0.0142857   87.0
52.738 -0.0285714 52.738 -0.0285714   88.3
53.205 -0.0142857 53.205 -0.0142857   85.8
54.045 -0.0142857 54.045 -0.0142857   86.6
63.697 -0.1285714 53.045 -0.0142857   86.1
56.969 -0.0428571 56.969 -0.0428571   87.0
63.290 -0.1000000 63.290 -0.1000000   84.6
65.017 -0.0285714 65.017 -0.0285714   84.2
66.327 -0.0142857 66.327 -0.0142857   83.3
89.903 -0.3285714 65.327 -0.0142857   85.3
54.459 0.1571429 64.327 -0.0142857   85.2
49.880 0.2142857 63.327 -0.0142857   84.1
48.080 0.2142857 62.327 -0.0142857   84.8
45.769 0.2428571 61.327 -0.0142857   85.4
42.852 0.2714286 60.327 -0.0142857   85.3
